,FORE-SCE-A1B,FORE-SCE-A2,FORE-SCE-B1,GCAM-26,GCAM-45,GCAM-ref,LUCAS-BAU_High-0001,LUCAS-BAU_High-0002,LUCAS-BAU_High-0003,LUCAS-BAU_High-0004,LUCAS-BAU_High-0005,LUCAS-BAU_High-0006,LUCAS-BAU_High-0007,LUCAS-BAU_High-0008,LUCAS-BAU_High-0009,LUCAS-BAU_High-0010,LUCAS-BAU_Low-0001,LUCAS-BAU_Low-0002,LUCAS-BAU_Low-0003,LUCAS-BAU_Low-0004,LUCAS-BAU_Low-0005,LUCAS-BAU_Low-0006,LUCAS-BAU_Low-0007,LUCAS-BAU_Low-0008,LUCAS-BAU_Low-0009,LUCAS-BAU_Low-0010,LUCAS-BAU_Med-0001,LUCAS-BAU_Med-0002,LUCAS-BAU_Med-0003,LUCAS-BAU_Med-0004,LUCAS-BAU_Med-0005,LUCAS-BAU_Med-0006,LUCAS-BAU_Med-0007,LUCAS-BAU_Med-0008,LUCAS-BAU_Med-0009,LUCAS-BAU_Med-0010
2054-10-01,459.18786971317394,419.1348009649134,416.16121387650855,542.6469346610553,495.31280897622645,468.90831626463967,407.0178178249098,411.3571968026583,416.74777934665565,409.63384749536624,407.7666870635478,412.4450634961553,410.7012460858032,407.0178178249098,408.9688497625308,409.6415651384664,399.85501202421756,402.70020146339476,401.5786480991199,400.6071897546498,400.8187100001103,402.1529637870314,405.4644590038353,397.5361388858793,407.1962111152979,401.09843013811815,405.43275308540285,407.87981924150665,406.34124877305766,402.40804099128707,408.29716728801975,409.1914085080331,408.4399270699084,410.071890385354,408.0573782965213,407.966533272201
2055-10-01,460.8454894792809,421.16216467905895,418.0262839657013,546.6905569976423,497.41170078903525,471.3291211587315,408.1332167456421,412.7298081057346,417.8767573536158,410.62734248645245,408.85891762807927,413.33680849633254,412.02899129556374,408.1332167456421,409.85288693414725,410.5197665395423,400.57080768684006,403.47714492652545,402.28463407903985,401.5865147500138,401.4624451340477,403.07341777640085,406.59773237725756,398.29223813914945,408.1046054869736,401.78862747028575,406.1007830085667,408.74918567776507,407.4727945759467,403.19332642304875,409.0140581642983,410.2225966153361,409.2583121321201,410.8348772913182,409.07687734754415,408.8023447046886
2056-10-01,462.0658418052808,422.7583195346033,419.5512101076415,549.8481044286143,499.0388889913346,473.15869263828165,408.7502712605963,413.5241559892139,418.68514572294407,411.14237669161247,409.3359244561955,413.59319772198415,412.71691840275446,408.7502712605963,410.2597856892423,410.78991697154186,400.7858100566057,403.70363416850415,402.5204004605504,402.09576802038333,401.89480665505306,403.3146076726875,407.06072052666644,398.709225289026,408.5653343463707,402.0247724901358,406.40538920109674,409.18171153253786,408.2939763465186,403.677778365225,409.3469077516631,410.73291500320863,409.6470036908542,411.12415737939784,409.5068913248908,409.2568342658468
2057-10-01,463.6086722077005,424.6072202056086,421.42213229796306,553.1699733173463,500.7902734841449,475.26817551586026,409.6074920598543,414.30805561519236,419.5979073869295,411.88688282570075,410.0969874278204,414.1960686244847,413.5786764171959,409.6074920598543,410.67386688249974,411.2863290893203,401.0658800065229,404.35718040183855,403.1771327774169,402.7666027632505,402.60716658476537,403.7832865358672,407.6429659181427,399.1145972088687,409.0352400757955,402.6098873599764,406.98348494285756,410.0131465809418,409.0900967622088,404.583621060406,410.0693481182967,411.2407162491886,410.4282375522491,411.8033104349821,410.3014568951488,409.9015664829308
2058-10-01,465.22290367250696,426.4860121444748,423.4152531604703,556.4458411695985,502.5511720495547,477.1634287731379,410.22039009417006,415.2888269551452,420.6867220652962,412.5258219321425,410.88138326661664,414.944090518907,414.46278981218364,410.22039009417006,411.1945983514332,411.749266109826,401.4377987283242,404.99385879459754,403.88013867959813,403.5484180577281,403.08701796049303,404.22001611799254,408.40473968110115,399.6387580295409,409.76316339884,403.15576848348337,407.6275068778924,410.78098201721025,409.862901965922,405.4660132437074,410.9193080491215,411.97042393519166,411.18630015940545,412.27807592640994,411.19805319157985,410.56899564066697
2059-10-01,467.1673665638217,428.62413158958924,425.7629630912046,559.9343912696163,504.47814237890077,479.3843610415497,410.8827815045217,416.53532291730664,421.82273906149965,413.60378310397493,411.9181832616197,415.87675442581167,415.54994786915523,410.8827815045217,411.92318370008087,412.66058581511516,402.01088918016603,405.8104327110698,404.7461441617174,404.5696208173309,403.96788630006483,404.8548075988339,409.45854596065794,400.3922751087822,410.63284447242813,403.9980761358908,408.46699880725816,411.79603848275184,411.1443807454656,406.5232243228413,411.9647577210262,412.9838997078362,412.1838598799316,412.9490114973663,412.03429373272866,411.2400339870863
2060-10-01,468.51889970737886,430.35634516491916,427.48974924155226,562.5763702127482,505.79031451367354,480.9773505313651,411.03882378072177,417.15643003701007,422.3217332830769,414.246155269002,412.6222760312383,416.3289143305904,416.16608046855737,411.03882378072177,412.19118581584854,413.0863705850734,402.1571311291492,406.15592162322514,405.0846501738239,405.14870624528857,404.6141410120884,404.8992637944421,409.95482342781315,400.797475122565,410.9932980212549,404.5040800133222,408.9221358173219,412.2999820171428,411.7952943656111,407.03619323536725,412.7085348867443,413.2798622353466,412.7399766837486,413.21635423162405,412.4554120250632,411.4774860624601
2061-10-01,470.039389500741,432.3850911377349,429.2917012740254,565.593997278162,507.43357915275476,482.8268861710104,411.6844212720898,417.9386889182455,422.9529406027289,415.3089927055606,413.7652161030786,417.094825011153,417.20353194255694,411.6844212720898,412.67593124539906,413.67199253246673,402.5848711616496,406.5808364851085,405.64100371351856,405.94416917475115,405.2157271596778,405.26213660580584,410.8666125282566,401.3421714806749,411.72962199133616,405.47665577811085,409.3761411768686,413.0642719848174,412.496230875302,407.65300240451336,413.73178173832974,413.76991576697947,413.69468369425215,413.9300588420512,413.1140746997645,411.8964495959981
2062-10-01,471.4748600653276,434.48426462188473,430.94380501842426,568.6622908783426,509.23668413749056,484.68591506733463,412.3629528308811,418.69732226351096,423.7328304624547,416.24622905245906,414.8315373848124,417.88672430754303,418.44409250697674,412.3629528308811,413.2647453877381,414.29894393171423,403.0001821070973,406.9714855007264,406.00475487080064,406.8344674898864,405.7471863660711,405.6440242312334,411.72887320645225,402.07354350826733,412.62858476285436,406.19432431919006,409.8628863967009,413.72389992331694,413.28330843626145,408.07845727767733,414.64981381734805,414.31180613752,414.520652592632,414.3944804267347,413.78332047514124,412.36158095344615
2063-10-01,473.08556971832286,436.89224992683467,432.68331431087665,571.966990019883,511.28949216988485,486.8075755283,413.2791881790029,419.4635676611639,424.58294327210024,417.4181896760457,416.06650138285505,418.73554514904225,419.853542759968,413.2791881790029,414.00577105374197,415.15244459362475,403.6689418069749,407.6093369565024,406.4545621390763,407.8798700387936,406.57245045058204,406.21365520262646,412.7020820099544,402.8032699982616,413.54321272878315,407.27744237608636,410.7460528970134,414.8626065567546,414.1357628637271,408.689360764318,415.5580125247279,414.9698666733537,415.576678012912,415.23993820300603,414.7115351326123,413.060744757909
